iter	Passed	Remaining
0	148	148845
1	151	75388
2	152	50729
3	154	38368
4	155	30945
5	156	25910
6	158	22417
7	159	19813
8	161	17785
9	163	16176
10	165	14844
11	166	13744
12	168	12784
13	169	11962
14	171	11255
15	172	10630
16	174	10092
17	175	9598
18	177	9143
19	179	8779
20	180	8426
21	182	8106
22	184	7819
23	185	7553
24	187	7294
25	188	7070
26	190	6870
27	192	6684
28	194	6498
29	195	6320
30	197	6162
31	198	6008
32	200	5861
33	201	5728
34	203	5599
35	204	5482
36	206	5380
37	207	5265
38	209	5160
39	211	5064
40	212	4972
41	214	4883
42	215	4801
43	217	4720
44	218	4643
45	220	4570
46	221	4501
47	223	4438
48	225	4379
49	227	4315
50	228	4254
51	230	4197
52	231	4142
53	233	4087
54	234	4032
55	236	3982
56	238	3940
57	240	3903
58	241	3858
59	243	3815
60	245	3773
61	246	3730
62	248	3690
63	249	3653
64	251	3617
65	253	3582
66	254	3546
67	256	3510
68	257	3477
69	259	3447
70	260	3415
71	262	3382
72	264	3353
73	266	3329
74	267	3303
75	269	3276
76	271	3249
77	272	3223
78	274	3196
79	275	3170
80	277	3145
81	278	3122
82	280	3097
83	281	3073
84	283	3050
85	284	3027
86	286	3006
87	287	2984
88	288	2956
89	290	2935
90	291	2916
91	293	2896
92	294	2876
93	296	2855
94	297	2837
95	299	2819
96	301	2802
97	302	2784
98	304	2767
99	305	2751
100	307	2734
101	308	2717
102	310	2701
103	311	2686
104	313	2674
105	315	2661
106	317	2650
107	319	2636
108	320	2621
109	322	2608
110	323	2594
111	325	2581
112	326	2566
113	328	2552
114	330	2542
115	332	2532
116	333	2520
117	335	2508
118	336	2489
119	337	2477
120	339	2464
121	340	2452
122	342	2440
123	344	2431
124	345	2421
125	347	2410
126	348	2398
127	350	2388
128	352	2377
129	353	2367
130	355	2355
131	356	2345
132	358	2335
133	359	2326
134	361	2315
135	363	2306
136	364	2296
137	366	2287
138	367	2277
139	369	2268
140	370	2259
141	372	2250
142	374	2243
143	375	2234
144	377	2226
145	378	2216
146	380	2208
147	381	2198
148	383	2189
149	384	2181
150	386	2173
151	388	2165
152	389	2158
153	391	2151
154	393	2144
155	394	2136
156	396	2128
157	398	2121
158	399	2113
159	401	2106
160	403	2100
161	404	2094
162	406	2088
163	408	2080
164	409	2072
165	411	2066
166	412	2059
167	414	2052
168	416	2045
169	417	2039
170	419	2032
171	420	2025
172	422	2019
173	424	2012
174	425	2007
175	427	2000
176	428	1993
177	430	1986
178	431	1980
179	433	1974
180	435	1968
181	436	1963
182	438	1958
183	440	1952
184	441	1945
185	443	1939
186	444	1933
187	446	1928
188	448	1922
189	449	1916
190	451	1911
191	452	1905
192	454	1900
193	455	1894
194	457	1890
195	459	1885
196	461	1879
197	462	1874
198	464	1870
199	466	1864
200	467	1859
201	469	1854
202	471	1849
203	472	1844
204	474	1839
205	476	1834
206	477	1829
207	479	1824
208	480	1819
209	482	1814
210	483	1809
211	485	1804
212	487	1799
213	488	1793
214	489	1788
215	491	1783
216	493	1779
217	495	1776
218	496	1771
219	498	1768
220	500	1763
221	501	1758
222	503	1753
223	505	1749
224	506	1745
225	508	1740
226	509	1735
227	511	1732
228	513	1727
229	514	1722
230	516	1718
231	518	1715
232	519	1710
233	521	1705
234	522	1701
235	524	1696
236	525	1693
237	527	1688
238	528	1684
239	530	1679
240	532	1675
241	533	1671
242	535	1667
243	536	1663
244	539	1662
245	541	1658
246	542	1654
247	544	1650
248	546	1646
249	547	1642
250	548	1638
251	550	1633
252	551	1629
253	553	1625
254	555	1622
255	556	1618
256	558	1614
257	559	1610
258	561	1606
259	562	1602
260	564	1598
261	566	1594
262	567	1591
263	569	1588
264	571	1586
265	573	1582
266	575	1578
267	576	1574
268	578	1571
269	579	1567
270	581	1564
271	582	1560
272	584	1557
273	586	1554
274	588	1550
275	589	1546
276	591	1543
277	592	1539
278	594	1535
279	595	1532
280	597	1528
281	598	1525
282	600	1521
283	602	1518
